cluster_center	other_electrode, euclidean_distance**
Fpz	Fp2,27.253944396972656	Fp1,31.346410751342773	AFz,42.14373779296875	AF4,47.708030700683594	AF8,53.468257904052734	AF3,54.53252029418945	AF7,62.28264236450195	Fz,66.18704223632812	F4,67.27577209472656	F2,70.31167602539062	F6,71.10592651367188	F1,72.30525970458984	F3,72.89533233642578	F5,75.18926239013672	F8,78.63954162597656	F7,82.35150146484375	FC4,97.0296630859375	FC6,97.8590316772461	FC2,98.94830322265625	FCz,99.56497955322266	FC3,100.8689193725586	FT8,101.63420867919922	FC1,101.72138214111328	FC5,102.2771224975586	FT7,104.67594909667969	C6,123.78411102294922	T8,123.89795684814453	C4,125.06205749511719	T7,126.76387786865234	C5,127.87206268310547	C2,127.90370178222656	Cz,129.01351928710938	C1,129.1691436767578	C3,129.7620849609375	TP8,147.46665954589844	CP6,148.03074645996094	TP7,148.25709533691406	CP5,149.63433837890625	CP4,150.04248046875	CP3,152.53326416015625	CP2,152.9679412841797	CP1,154.82521057128906	CPz,155.7265167236328	P8,162.65040588378906	P7,165.08189392089844	P6,165.38540649414062	P4,167.9585723876953	P5,167.96241760253906	P2,168.2157745361328	P1,168.9510040283203	Pz,169.9996795654297	P3,170.55181884765625	PO8,177.3673095703125	PO4,177.84117126464844	PO7,179.837158203125	PO3,180.6039276123047	POz,182.86489868164062	O1,185.38995361328125	O2,186.97442626953125	Oz,189.60374450683594	
T8	FT8,26.395700454711914	TP8,29.99417495727539	C6,30.58368682861328	FC6,44.15765380859375	CP6,44.32193374633789	P8,52.65549087524414	F8,53.02777099609375	C4,61.6215934753418	P6,64.14286804199219	F6,66.68685150146484	FC4,67.92879486083984	CP4,68.4372329711914	PO8,77.22403717041016	P4,79.92089080810547	AF8,81.78256225585938	F4,84.67882537841797	PO4,85.88613891601562	AF4,91.08501434326172	FC2,91.70982360839844	C2,92.9188461303711	CP2,94.98788452148438	P2,98.18716430664062	O2,99.32420349121094	F2,99.4316177368164	Fp2,106.5653076171875	FCz,113.29022979736328	Oz,113.84468841552734	Pz,114.49786376953125	POz,114.69552612304688	Cz,114.9028549194336	CPz,116.45319366455078	Fz,117.98905181884766	AFz,121.96448516845703	Fpz,123.89795684814453	O1,127.0539779663086	P1,130.24551391601562	FC1,130.44326782226562	F1,131.26315307617188	C1,132.45529174804688	CP1,134.2152557373047	PO3,135.46395874023438	PO7,137.5578155517578	Fp1,139.54150390625	P3,139.5948486328125	F3,140.1871337890625	FC3,141.05599975585938	P7,142.26284790039062	P5,142.8145751953125	AF3,142.8150177001953	C3,144.6201934814453	CP3,144.75819396972656	F5,144.86236572265625	F7,145.35562133789062	TP7,145.35682678222656	FT7,145.53875732421875	FC5,145.83970642089844	T7,145.9766387939453	CP5,146.01414489746094	AF7,146.7263946533203	C5,147.04344177246094	
CP2	P2,28.637012481689453	CPz,29.73103141784668	CP4,31.533205032348633	C2,32.332252502441406	Pz,40.21995544433594	P4,41.91168212890625	Cz,45.131710052490234	C4,47.414302825927734	CP6,59.15922546386719	CP1,60.833045959472656	P6,60.9605598449707	P1,62.32152557373047	PO4,63.439308166503906	FC2,63.66279220581055	POz,66.58982849121094	C1,69.21153259277344	C6,70.40629577636719	FCz,71.16065216064453	FC4,71.84497833251953	P8,83.76756286621094	PO8,84.67479705810547	P3,84.9492416381836	FC6,86.58180236816406	FC1,86.68836975097656	TP8,87.3446044921875	CP3,87.879638671875	O2,90.09877014160156	Oz,93.7024917602539	PO3,94.07858276367188	F2,94.25489807128906	T8,94.98788452148438	C3,95.24050903320312	F4,101.21473693847656	Fz,103.61698913574219	FT8,103.78174591064453	O1,104.12840270996094	P5,104.31146240234375	FC3,106.71104431152344	CP5,108.68406677246094	F6,109.41740417480469	F1,109.60670471191406	PO7,112.48597717285156	C5,116.14382934570312	F8,117.45944213867188	P7,119.29627990722656	F3,123.21192169189453	FC5,124.49964141845703	AFz,124.95957946777344	AF4,125.06552124023438	TP7,129.03822326660156	AF8,133.3385009765625	T7,134.127685546875	F5,135.94334411621094	FT7,139.3814697265625	AF3,142.5108184814453	F7,146.50088500976562	Fp2,147.9733123779297	Fpz,152.9679412841797	AF7,154.71017456054688	Fp1,158.0030975341797	
CP4	CP6,29.657455444335938	P4,31.010377883911133	CP2,31.533205032348633	C4,32.050479888916016	P6,39.8583869934082	P2,40.1602783203125	C6,44.35414123535156	C2,45.866939544677734	PO4,53.71001434326172	CPz,59.590972900390625	TP8,59.91412353515625	P8,60.0303840637207	Pz,60.60852813720703	FC4,62.95862579345703	FC6,67.9677505493164	T8,68.4372329711914	PO8,68.53783416748047	FC2,68.69915008544922	Cz,69.12419891357422	POz,74.46160125732422	FT8,81.07152557373047	O2,82.54045104980469	P1,84.24630737304688	FCz,85.73172760009766	CP1,87.52511596679688	Oz,92.60289001464844	C1,93.75599670410156	F4,95.16143798828125	F2,95.8766098022461	F6,95.92579650878906	F8,99.4505615234375	P3,103.47418212890625	FC1,105.10882568359375	PO3,105.94962310791016	O1,108.09365844726562	CP3,110.01744842529297	Fz,110.98097229003906	C3,116.40511322021484	AF4,116.69807434082031	P5,118.38745880126953	PO7,120.02606201171875	AF8,120.53545379638672	F1,121.43817138671875	FC3,123.64898681640625	CP5,124.73036193847656	AFz,128.21475219726562	P7,128.8678436279297	C5,131.7568359375	F3,134.97593688964844	FC5,138.02162170410156	TP7,138.6177978515625	Fp2,140.0059814453125	T7,143.88931274414062	F5,145.9954376220703	FT7,148.34988403320312	AF3,149.76370239257812	Fpz,150.04248046875	F7,153.7654571533203	Fp1,159.61965942382812	AF7,160.09609985351562	
CP6	P6,26.88257598876953	CP4,29.657455444335938	TP8,30.699779510498047	C6,31.470767974853516	P8,35.32392501831055	P4,37.99913024902344	C4,43.994537353515625	T8,44.32193374633789	PO4,50.06193161010742	PO8,52.82830047607422	P2,58.539276123046875	CP2,59.15922546386719	FC6,61.577972412109375	FT8,63.85636520385742	FC4,69.39459228515625	C2,69.70172882080078	O2,73.72925567626953	Pz,78.6212158203125	POz,81.13593292236328	CPz,83.85028076171875	FC2,84.0744400024414	F8,87.31706237792969	Oz,88.30442810058594	F6,91.01873016357422	Cz,92.50553131103516	F4,98.30803680419922	P1,99.90486907958984	FCz,103.4397964477539	F2,104.91942596435547	O1,105.93620300292969	CP1,107.12727355957031	PO3,111.00189971923828	AF8,112.85350799560547	C1,113.293701171875	P3,114.40928649902344	AF4,114.61499786376953	PO7,119.75312042236328	FC1,121.10067749023438	Fz,121.76029205322266	CP3,124.0033950805664	P5,124.0565185546875	P7,129.63134765625	C3,130.41909790039062	CP5,132.0603790283203	F1,132.64231872558594	AFz,134.2364501953125	Fp2,135.10157775878906	FC3,135.55787658691406	TP7,139.10043334960938	C5,139.26063537597656	F3,143.6685791015625	FC5,144.915283203125	T7,145.09361267089844	Fpz,148.03074645996094	FT7,149.8392791748047	F5,151.32601928710938	AF3,154.0654754638672	F7,154.96324157714844	Fp1,159.29884338378906	AF7,160.90452575683594	
TP8	P8,23.33416175842285	T8,29.99417495727539	CP6,30.699779510498047	P6,39.783329010009766	C6,42.4246826171875	PO8,49.02163314819336	FT8,55.94883728027344	CP4,59.91412353515625	P4,60.26772689819336	PO4,60.80859375	FC6,67.82672119140625	C4,67.99220275878906	O2,73.05744171142578	F8,82.04901123046875	P2,82.36702728271484	FC4,85.12368774414062	CP2,87.3446044921875	Oz,89.81755065917969	F6,93.59779357910156	POz,93.79973602294922	C2,95.62787628173828	Pz,99.79248809814453	FC2,103.86314392089844	O1,106.89256286621094	F4,107.59623718261719	CPz,108.6030502319336	AF8,109.89994812011719	Cz,116.31401824951172	P1,117.24714660644531	AF4,117.36902618408203	F2,118.20684051513672	PO3,118.34534454345703	PO7,120.9844741821289	FCz,122.85978698730469	P3,126.56053924560547	CP1,126.93179321289062	P5,130.4635772705078	P7,130.6817169189453	C1,132.68814086914062	Fp2,132.9968719482422	Fz,134.772216796875	FC1,137.4006805419922	CP3,137.9273223876953	TP7,138.98377990722656	CP5,139.21273803710938	AFz,142.38516235351562	C3,143.9459991455078	F1,144.61314392089844	T7,145.29513549804688	C5,146.08834838867188	FC3,147.14324951171875	Fpz,147.46665954589844	FT7,150.23406982421875	FC5,151.05538940429688	F3,152.3424530029297	F7,155.16590881347656	F5,156.10162353515625	AF3,158.22171020507812	Fp1,159.06700134277344	AF7,160.93414306640625	
P2	Pz,23.125329971313477	P4,25.29247283935547	CP2,28.637012481689453	CPz,37.68242263793945	POz,39.87730407714844	PO4,39.982582092285156	CP4,40.1602783203125	P6,47.366939544677734	P1,49.76300048828125	CP6,58.539276123046875	C2,59.232582092285156	CP1,61.23788833618164	PO8,64.36598205566406	O2,64.93649291992188	Cz,66.33392333984375	C4,66.89061737060547	Oz,67.54922485351562	P3,70.76811981201172	P8,71.37531280517578	PO3,73.42786407470703	C6,80.17019653320312	O1,80.55949401855469	C1,80.7646713256836	TP8,82.36702728271484	CP3,83.82132720947266	FC2,88.16069030761719	P5,89.48698425292969	PO7,92.22074890136719	FC4,93.25930786132812	FCz,93.52510070800781	T8,98.18716430664062	C3,99.05986785888672	CP5,100.84960174560547	FC6,101.98820495605469	FC1,102.34637451171875	P7,104.1457290649414	FT8,112.63175201416016	C5,114.81503295898438	FC3,116.5283203125	F2,116.64125061035156	TP7,118.87907409667969	F4,122.07157135009766	Fz,124.62785339355469	F6,126.50186920166016	F1,126.79497528076172	FC5,129.14791870117188	T7,129.67369079589844	F8,129.98715209960938	F3,136.3629913330078	FT7,140.0685577392578	AF4,143.38217163085938	AFz,144.36538696289062	F5,145.2646484375	AF8,148.59498596191406	F7,151.61141967773438	AF3,154.9593505859375	AF7,163.400634765625	Fp2,163.73760986328125	Fpz,168.2157745361328	Fp1,170.70404052734375	
P4	P6,23.00372314453125	PO4,24.154321670532227	P2,25.29247283935547	CP4,31.010377883911133	CP6,37.99913024902344	CP2,41.91168212890625	PO8,45.12786865234375	Pz,46.461524963378906	POz,48.22776794433594	P8,48.37583923339844	O2,54.43640899658203	TP8,60.26772689819336	CPz,60.53083801269531	C4,61.5791015625	Oz,64.4854507446289	C6,65.53282165527344	C2,68.16980743408203	P1,70.74523162841797	T8,79.92089080810547	Cz,82.88817596435547	O1,83.18201446533203	CP1,83.64021301269531	PO3,84.28705596923828	P3,87.7896957397461	FC4,90.3510971069336	FC6,92.16862487792969	FC2,93.42125701904297	FT8,98.31224060058594	PO7,98.42278289794922	C1,99.77749633789062	P5,101.93595886230469	CP3,102.79736328125	FCz,104.82760620117188	P7,112.26522064208984	CP5,114.69316101074219	C3,116.47838592529297	FC1,116.87726593017578	F8,119.25433349609375	F6,119.56842041015625	F2,119.93758392333984	F4,120.39066314697266	TP7,127.0088882446289	C5,128.03370666503906	FC3,130.439697265625	Fz,131.66741943359375	F1,136.9091796875	T7,138.05535888671875	AF4,139.7677459716797	FC5,140.61837768554688	AF8,141.5695037841797	F3,146.5123291015625	FT7,147.9272003173828	AFz,148.6735382080078	F5,154.15234375	F7,158.28323364257812	Fp2,159.99545288085938	AF3,161.87322998046875	Fpz,167.9585723876953	AF7,168.79910278320312	Fp1,173.53240966796875	
P6	P4,23.00372314453125	PO4,24.266502380371094	P8,25.763641357421875	CP6,26.88257598876953	PO8,29.62858009338379	TP8,39.783329010009766	CP4,39.8583869934082	P2,47.366939544677734	O2,48.76353454589844	C6,57.59568405151367	POz,59.97770690917969	CP2,60.9605598449707	T8,64.14286804199219	Oz,64.30610656738281	C4,65.2722396850586	Pz,66.35149383544922	CPz,80.65233612060547	C2,81.42377471923828	O1,85.03385162353516	FT8,86.2466049194336	FC6,86.56488800048828	P1,87.49393463134766	FC4,91.99585723876953	PO3,92.68343353271484	Cz,98.7591552734375	P3,100.4921875	CP1,101.20344543457031	FC2,101.27973937988281	PO7,101.71408081054688	F8,109.85800170898438	P5,109.94293212890625	F6,114.57801055908203	C1,114.91275787353516	FCz,115.71549987792969	P7,115.89566040039062	CP3,116.32848358154297	F4,120.44770050048828	CP5,123.08760070800781	F2,124.08984375	FC1,128.20774841308594	C3,128.58050537109375	TP7,129.78671264648438	AF8,134.79830932617188	C5,135.5618896484375	AF4,136.6015625	Fz,137.68170166015625	FC3,139.7005157470703	T7,140.73941040039062	F1,144.16395568847656	FC5,146.7041778564453	FT7,150.17669677734375	AFz,151.46734619140625	F3,152.60731506347656	Fp2,155.1519775390625	F5,158.24270629882812	F7,159.69696044921875	AF3,164.6488800048828	Fpz,165.38540649414062	AF7,169.40162658691406	Fp1,172.6588897705078	
P8	TP8,23.33416175842285	P6,25.763641357421875	PO8,26.006847381591797	CP6,35.32392501831055	PO4,41.38148498535156	P4,48.37583923339844	O2,51.02198791503906	T8,52.65549087524414	C6,59.29007339477539	CP4,60.0303840637207	Oz,69.13156127929688	P2,71.37531280517578	POz,75.98234558105469	C4,77.72684478759766	FT8,77.73251342773438	CP2,83.76756286621094	FC6,86.71778106689453	Pz,87.8577651977539	O1,88.92073822021484	C2,99.30249786376953	FC4,99.34634399414062	CPz,102.36975860595703	PO3,102.4044189453125	F8,102.91082000732422	P1,105.26264953613281	PO7,105.52086639404297	F6,112.8977279663086	FC2,113.29380798339844	P3,113.7830810546875	Cz,116.95480346679688	P5,117.9727783203125	P7,118.94707489013672	CP1,119.40509033203125	F4,123.87677001953125	FCz,129.00286865234375	AF8,129.54324340820312	CP3,129.80224609375	CP5,130.8638153076172	C1,130.8662567138672	F2,131.15516662597656	TP7,131.19549560546875	AF4,135.47206115722656	FC1,140.39962768554688	C3,140.46421813964844	T7,141.752197265625	C5,142.12982177734375	Fz,145.41436767578125	FC3,148.7703857421875	FT7,150.69825744628906	Fp2,150.82640075683594	FC5,151.7597198486328	F1,152.06878662109375	AFz,155.33111572265625	F3,158.4558563232422	F7,159.44142150878906	F5,161.3462371826172	Fpz,162.65040588378906	AF3,166.66574096679688	AF7,168.4761962890625	Fp1,170.80587768554688	
PO4	P4,24.154321670532227	P6,24.266502380371094	PO8,25.938631057739258	O2,30.92378044128418	POz,38.58894348144531	P2,39.982582092285156	P8,41.38148498535156	Oz,43.62488555908203	CP6,50.06193161010742	CP4,53.71001434326172	Pz,53.799808502197266	TP8,60.80859375	CP2,63.439308166503906	O1,66.04364776611328	P1,72.94962310791016	PO3,73.71887969970703	CPz,75.55562591552734	C6,79.61933135986328	C4,82.20196533203125	P3,84.42935180664062	PO7,84.44139862060547	T8,85.88613891601562	C2,89.44243621826172	CP1,91.90950012207031	P5,94.49595642089844	Cz,100.671142578125	P7,101.99942016601562	CP3,105.21440124511719	FC6,106.86679077148438	FT8,107.19979858398438	FC4,108.82140350341797	CP5,111.7237777709961	C1,111.86074829101562	FC2,112.7351303100586	TP7,119.65376281738281	FCz,122.18605041503906	C3,122.40277099609375	C5,128.60598754882812	F8,129.46803283691406	FC1,129.79220581054688	F6,133.31947326660156	T7,134.5333251953125	F4,136.6168670654297	F2,136.9426727294922	FC3,138.80686950683594	FC5,144.42578125	Fz,147.2163848876953	FT7,147.7498016357422	F1,149.67665100097656	AF8,152.68814086914062	AF4,153.29769897460938	F3,156.05982971191406	F5,160.4426727294922	F7,160.89610290527344	AFz,162.49832153320312	AF3,170.06423950195312	Fp2,170.6451873779297	AF7,173.70477294921875	Fpz,177.84117126464844	Fp1,181.2748565673828	
PO8	O2,25.826156616210938	PO4,25.938631057739258	P8,26.006847381591797	P6,29.62858009338379	P4,45.12786865234375	Oz,45.268550872802734	TP8,49.02163314819336	CP6,52.82830047607422	POz,56.99129867553711	P2,64.36598205566406	O1,68.0271987915039	CP4,68.53783416748047	Pz,77.05708312988281	T8,77.22403717041016	C6,80.5457534790039	PO3,83.73489379882812	CP2,84.67479705810547	PO7,87.24378204345703	C4,92.38975524902344	P1,92.40924072265625	CPz,97.83396911621094	P3,98.9190673828125	FT8,100.99629974365234	P5,102.94461822509766	P7,104.77403259277344	C2,106.23764038085938	FC6,107.71783447265625	CP1,111.45050048828125	FC4,116.00321197509766	Cz,119.07421875	CP3,119.99761962890625	CP5,120.34622955322266	TP7,121.29887390136719	FC2,124.67301940917969	F8,124.78129577636719	C1,128.87567138671875	F6,133.22984313964844	C3,135.60986328125	FCz,136.03224182128906	C5,136.31524658203125	T7,136.382080078125	F4,141.1544647216797	FC1,143.12452697753906	F2,144.9291534423828	FC3,149.2928924560547	FT7,149.55914306640625	AF8,149.69424438476562	FC5,150.90908813476562	AF4,154.02182006835938	Fz,156.18914794921875	F1,159.02525329589844	F7,162.28713989257812	F3,163.5451202392578	F5,165.25621032714844	AFz,168.0470428466797	Fp2,168.64776611328125	AF3,173.97145080566406	AF7,174.70314025878906	Fpz,177.3673095703125	Fp1,181.59088134765625	
O2	Oz,20.26797866821289	PO8,25.826156616210938	PO4,30.92378044128418	POz,41.600738525390625	O1,45.218788146972656	P6,48.76353454589844	P8,51.02198791503906	P4,54.43640899658203	PO3,63.29655838012695	P2,64.93649291992188	PO7,66.40579986572266	Pz,70.33515167236328	TP8,73.05744171142578	CP6,73.72925567626953	P1,80.18366241455078	CP4,82.54045104980469	P3,82.60480499267578	P5,85.18975830078125	P7,87.47904205322266	CP2,90.09877014160156	CPz,95.7199935913086	T8,99.32420349121094	C6,100.97622680664062	CP1,103.29106140136719	CP5,106.5560073852539	TP7,107.7133560180664	C4,107.97541809082031	CP3,108.01716613769531	C2,114.31169891357422	FT8,121.17625427246094	Cz,121.25050354003906	C1,125.3971939086914	FC6,126.32221984863281	C5,126.6457290649414	T7,126.80853271484375	C3,127.80596160888672	FC4,131.03219604492188	FC2,134.7148895263672	FCz,141.18804931640625	F8,142.9621124267578	FC1,143.0854949951172	FT7,143.79249572753906	FC5,145.68890380859375	FC3,146.08810424804688	F6,150.0400848388672	F4,155.1632843017578	F2,155.65184020996094	F7,160.13710021972656	F1,162.09437561035156	Fz,163.4256134033203	F3,164.19163513183594	F5,164.3226318359375	AF8,165.57736206054688	AF4,168.43118286132812	AF7,175.6456756591797	AF3,176.23178100585938	AFz,176.4084014892578	Fp2,181.67189025878906	Fpz,186.97442626953125	Fp1,187.02774047851562	
